type,category,short,long,user,logo,link,description
,Biodiversity time series,COMADRE,COMADRE Animal Matrix Database,hagen,,https://compadre-db.org/Data/Comadre,Repository of animal matrix population models and associated metadata.
,Biodiversity time series,COMPADRE,COMPADRE Plant Matrix Database,hagen,compadre.png,https://compadre-db.org/,"Repository of plant matrix population models and associated life-history, environmental and study metadata."
,Biodiversity time series,GPDD,Global Population Dynamics Database,hagen,,https://knb.ecoinformatics.org/view/doi:10.5063/F1BZ63Z8,Compilation of animal and plant population time series from published and unpublished studies.
,Biodiversity time series,ILTER,International Long Term Ecological Research Network,hagen,ilter.png,https://www.ilter.network/,International federation of national and regional long-term ecological research networks and sites.
,Biodiversity time series,LPD/LPI,Living Planet Database and Index,hagen,,https://www.livingplanetindex.org/,Database of vertebrate population time series underpinning the Living Planet Index.
,Biodiversity time series,Movebank,Movebank,hagen,logo-movebank.png,https://www.movebank.org/,"Global platform for managing, sharing and archiving animal movement and bio-logging data."
,Biodiversity time series,popler,popler,hagen,,https://popler.is/,Database and R package providing population-abundance time series from the US Long Term Ecological Research network.
,Biodiversity time series,BioTIME,BioTIME 2.0,kocsis,biotime_cent.png,https://biotime.st-andrews.ac.uk/,A global database of modern assemblage time series for quantifying and understanding biodiversity change.
,Biodiversity time series,BDT,BioDeepTime,kocsis,BioDeepTime-Logo-rgb.svg,https://biodeeptime.github.io/,Harmonised database of modern and fossil assemblage time series for comparison across ecological and geological timescales.
,Bioregionalization,Marine regions,Marine Regions,kocsis,marineregionstext.png,https://www.marineregions.org/,"Standardised marine gazetteer and boundary data including seas, EEZs and named places."
,Biotic interactions,GloBI,Global Biotic Interactions,hagen,globi.svg,https://globalbioticinteractions.org/,Open infrastructure indexing species-interaction records from literature and datasets.
,Climate,CDO,Climate Data Online,kocsis,,https://www.ncei.noaa.gov/cdo-web/,
,Climate,NASA EarthData,NASA EarthData,kocsis,nasa_earthdata.png,https://www.earthdata.nasa.gov/,
,Climate-model simulations and derived paleoclimate layers,CHELSA-TraCE21k,CHELSA-TraCE21k,hagen,chelsa_trace21k_bio12.png,https://www.chelsa-climate.org/models/chelsa-trace21k,Terrain-informed downscaled transient climate data from the Last Glacial Maximum to the present.
,Climate-model simulations and derived paleoclimate layers,Phanerozoic CESM,Phanerozoic CESM climate dataset,hagen,,https://www.nature.com/articles/s41597-022-01490-4,High-resolution global Phanerozoic climate simulations at ten-million-year intervals using CESM.
,Climate-model simulations and derived paleoclimate layers,BRIDGE,BRIDGE Phanerozoic HadCM3L simulations,kocsis,bridge.svg,https://www.paleo.bristol.ac.uk/resources/simulations/,Stage-level global palaeoclimate simulations using the HadCM3L coupled atmosphere-ocean-vegetation model.
,Climate-model simulations and derived paleoclimate layers,PaleoClim,PaleoClim,kocsis,paleoclim.jpg,https://www.paleoclim.org/,High-resolution global terrestrial palaeoclimate surfaces for common Pliocene and Quaternary time slices.
,Climate-modeling,Argo,Argo,hagen,Argo_logo_tallspacer.png,https://argo.ucsd.edu/data/,Global autonomous profiling-float programme measuring upper-ocean physical and biogeochemical conditions.
,Climate-modeling,CMEMS,Copernicus Marine Service,hagen,,https://data.marine.copernicus.eu/products,"Operational global and regional ocean observations, reanalyses and forecasts."
,Climate-modeling,BioFresh/FIP,Freshwater Information Platform / BioFresh,hagen,,https://www.freshwaterplatform.eu/,"Freshwater-focused portal for data discovery, atlas products and research networks."
,Climate-modeling,GMED,Global Marine Environment Datasets,hagen,,https://doi.org/10.1016/j.ecoinf.2018.08.005,"Atlas integrating marine environmental variables, including present, past and future fields."
,Climate-modeling,,MARSPEC,hagen,,https://www.marspec.org/,Global high-resolution marine environmental layers designed for species-distribution modelling.
,Climate-modeling,SOCAT,Surface Ocean CO2 Atlas,hagen,,https://www.socat.info/,Quality-controlled global synthesis of surface-ocean carbon dioxide observations.
,Climate-modeling,WOA,World Ocean Atlas,hagen,woa.png,https://www.ncei.noaa.gov/products/world-ocean-atlas,Objectively analysed global ocean climatologies from quality-controlled profile observations.
,Climate-modeling,Bio-ORACLE,Bio-ORACLE,kocsis,bio-oracle.png,https://www.bio-oracle.org/,"Bio-ORACLE offers essential physical, chemical, biological and topographic data layers with global extent and uniform resolution for modelling the distribution of marine biodiversity."
,Community-composition datasets,BIAD,Biodiversity of Ice-free Antarctica Database,hagen,,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/ecy.70000,Integrated occurrence database for terrestrial and freshwater biodiversity in Antarctica's ice-free areas.
,Community-composition datasets,ForestGEO,Forest Global Earth Observatory,hagen,,https://forestgeo.si.edu/,Network of standardised large permanent forest plots repeatedly censusing mapped trees.
,Community-composition datasets,GLAD,Global Ants Database,hagen,,https://globalants.org/,Collaborative database of ant assemblage abundance and trait data from field studies.
,Community-composition datasets,NEON,National Ecological Observatory Network,hagen,,https://data.neonscience.org/,"Standardised continental observatory combining organisms, biogeochemistry, remote sensing and environmental measurements."
,Community-composition datasets,PREDICTS,PREDICTS,hagen,,https://www.nhm.ac.uk/our-science/our-work/biodiversity/predicts.html,Global compilation of local biodiversity samples across land-use and human-pressure gradients.
,Community-composition datasets,RLS,Reef Life Survey,hagen,,https://reeflifesurvey.com/,Standardised diver-based surveys of reef fishes and mobile invertebrates.
,Community-composition datasets,sPlotOpen,sPlotOpen,hagen,,https://www.idiv.de/research/projects/splot/splotopen-splot/,Environmentally balanced open subset of global vegetation plots with community composition and trait summaries.
